NoAnnonce,NoUtilisateur,Parution,Categorie,DescriptionAbregee,DescriptionComplete,Prix,Photo,MiseAJour,Etat
978,5,2026-03-22 10:12:00,2,Cherche disque dur externe 2 To en bon état,"Je cherche un disque dur externe 2 To, USB 3.0 ou supérieur, en bon état de fonctionnement. Idéalement de marque WD, Seagate ou Toshiba. Prêt à payer un prix raisonnable.",0.00,,2026-03-22 10:12:00,1
1015,5,2026-04-15 18:45:00,3,Console PSP-3000 + 12 jeux + cartes mémoire,"Console Sony PSP-3000 noire en excellent état avec 12 jeux originaux (God of War, GTA, Crisis Core, etc.), 2 cartes mémoire 8 Go, chargeur original et étui de transport. Custom firmware ARK-4 installé.",140.00,psp3000.jpg,2026-04-15 18:45:00,2
1037,3,2026-04-24 21:03:00,3,Bureau ergonomique IKEA Bekant + chaise Markus,"Bureau IKEA Bekant 160x80cm avec piètement réglable en hauteur (manuel), surface en plaquage chêne. Chaise IKEA Markus noire avec appui-tête. Le tout en très bon état, vendu en lot uniquement.",280.00,bureau.jpg,2026-04-24 21:03:00,1
1038,2,2026-04-25 09:15:00,2,Cherche guitariste pour groupe (rock alternatif),"Notre groupe cherche un guitariste rythmique avec influences rock alternatif (Radiohead, Arcade Fire, The National). Pratiques 1 fois semaine à Saint-Henri. Niveau intermédiaire à avancé.",0.00,,2026-04-25 09:15:00,1
1039,4,2026-04-25 16:22:00,1,"Chambre à louer près du cégep, dispo mai 2026","Chambre meublée disponible dès le 1er mai 2026 dans un appartement de 2 chambres à 5 minutes à pied du cégep. Internet et électricité inclus. Colocataire calme et étudiant.",525.00,chambre.jpg,2026-04-25 16:22:00,1
1040,7,2026-04-25 19:47:00,4,Manuels d introduction à la philosophie,"Lot de 4 manuels de philosophie collégiale en bon état. Inclut Philo 101, 102 et un recueil de textes de Hobbes, Rousseau et Beauvoir. À donner à qui en a besoin.",0.00,livres-philo.jpg,2026-04-25 19:47:00,1
1041,5,2026-04-26 11:08:00,5,Tutorat en mathématiques (calcul différentiel),"Étudiant en informatique offre du tutorat en calcul différentiel et calcul intégral. Disponible soirs et fins de semaine. Première rencontre gratuite de 30 minutes.",25.00,tutorat.jpg,2026-04-26 11:08:00,1
1042,6,2026-04-26 14:32:00,3,"Vélo de route Trek Domane AL2, taille 56","Vélo de route Trek Domane AL2 acheté en 2023, très peu utilisé. Cadre aluminium taille 56cm, groupe Shimano Claris 2x8 vitesses, freins à étrier. Vendu avec porte-bouteille et compteur Cateye.",350.00,velo-trek.jpg,2026-04-26 14:32:00,1
1043,9,2026-04-26 16:00:00,5,Couture et retouches de vêtements,"Service de couture pour ourlets, retouches et petites réparations. 5$ pour un ourlet simple. Travail rapide et soigné. Récupération sur le campus.",5.00,couture.jpg,2026-04-26 16:00:00,1
1044,8,2026-04-27 09:30:00,3,iPad Air 4 64Go avec clavier Logitech,"iPad Air 4ème génération 64Go en parfait état avec clavier Logitech Combo Touch. Parfait pour la prise de notes et le dessin. Acheté en 2022.",450.00,ipad.jpg,2026-04-27 09:30:00,1
1045,4,2026-04-27 14:00:00,4,Plantes d intérieur (boutures gratuites),"Boutures gratuites de pothos, philodendron et plantes araignées. Idéal pour décorer un appartement étudiant. À venir chercher au cégep.",0.00,plantes.jpg,2026-04-27 14:00:00,1
1046,6,2026-04-12 10:00:00,3,Ancienne offre vélo retirée,"Vélo précédemment listé.",200.00,,2026-04-12 10:00:00,3
1047,3,2026-03-15 14:00:00,3,Lot de manuels de programmation,"Manuels de PHP, JavaScript et SQL. Annonce retirée car vendus.",75.00,,2026-03-15 14:00:00,3
